Employee Id,Name,DepartmentID,Email,Work Phone
1,Meredith Grey,CARD,mgrey@bmw.org,2672941916:Verizon
2,Izzie Stevens,ONC,istevens@bwh.org,2672941916:Verizon
3,James Wilson,ONC,jwilson@bwh.org,2672941916:Verizon
4,Lawrence Kutner,RAD,lkutner@bwh.org,2672941916:Verizon
5,Cristopher Turk,CARD,cturk@bwh.org,2672941916:Verizon
6,Maxie Jones,ANS,mjones@bwh.org,2672941916:Verizon
7,Laura Spencer,PED,lspencer@bwh.org,2672941916:Verizon
8,Memet Oz,IMUN,moz@bwh.org,2672941916:Verizon
9,Mark Greene,CARD,mgreene@bwh.org,2672941916:Verizon
10,Abby Lockhart,PSYC,alockhart@bwh.org,2672941916:Verizon
11,Benjamin Pierce,RAD,bpierce@bwh.org,2672941916:Verizon
12,Henry Blake,DERM,hblake@bwh.org,2672941916:Verizon
13,Roy Trenneman,TSUP,rtrenneman@bwh.org,2672941916:Verizon
14,Maurice Moss,INSC,mmoss@bwh.org,2672941916:Verizon
15,Kevin Malone,ACCT,kmalone@bwh.org,2672941916:Verizon
16,Ted Buckland,LEG,tbuckland@bwh.org,2672941916:Verizon
