Name,Email,Work Phone
1,Meredith Grey,mgrey@bmw.org,2672941916:Verizon
2,Izzie Stevens,istevens@bwh.org,2672941916:Verizon
3,James Wilson,jwilson@bwh.org,2672941916:Verizon
4,Lawrence Kutner,lkutner@bwh.org,2672941916:Verizon
5,Cristopher Turk,cturk@bwh.org,2672941916:Verizon
6,Maxie Jones,mjones@bwh.org,2672941916:Verizon
7,Laura Spencer,lspencer@bwh.org,2672941916:Verizon
8,Memet Oz,moz@bwh.org,2672941916:Verizon
9,Mark Greene,mgreene@bwh.org,2672941916:Verizon
10,Abby Lockhart,alockhart@bwh.org,2672941916:Verizon
11,Benjamin Pierce,bpierce@bwh.org,2672941916:Verizon
12,Henry Blake,hblake@bwh.org,2672941916:Verizon
13,Roy Trenneman,rtrenneman@bwh.org,2672941916:Verizon
14,Maurice Moss,mmoss@bwh.org,2672941916:Verizon
15,Kevin Malone,kmalone@bwh.org,2672941916:Verizon
16,Ted Buckland,tbuckland@bwh.org,2672941916:Verizon
